Date,Time,Open,High,Low,Close,Volume
20231201,00:00:00,15900.0,15906.24,15895.66,15901.23,7
20231201,00:01:00,15901.23,15906.62,15899.78,15904.0,85
20231201,00:02:00,15904.0,15905.39,15900.46,15904.91,125
20231201,00:03:00,15904.91,15907.0,15902.45,15902.85,227
20231201,00:04:00,15902.85,15916.44,15899.81,15913.92,246
20231201,00:05:00,15913.92,15914.38,15906.02,15912.27,70
20231201,00:06:00,15912.27,15918.09,15910.21,15915.09,219
20231201,00:07:00,15915.09,15918.26,15905.63,15906.2,6
20231201,00:08:00,15906.2,15911.09,15904.18,15908.07,35
20231201,00:09:00,15908.07,15910.77,15905.88,15909.0,158
20231201,00:10:00,15909.0,15909.84,15904.77,15908.99,10
20231201,00:11:00,15908.99,15915.66,15908.28,15914.82,71
20231201,00:12:00,15914.82,15916.86,15911.15,15911.4,9
20231201,00:13:00,15911.4,15914.67,15905.58,15906.42,60
20231201,00:14:00,15906.42,15906.98,15895.51,15896.66,25
20231201,00:15:00,15896.66,15897.32,15888.93,15893.78,24
20231201,00:16:00,15893.78,15899.46,15891.08,15898.6,89
20231201,00:17:00,15898.6,15904.14,15896.8,15903.44,38
20231201,00:18:00,15903.44,15904.69,15900.67,15901.05,53
20231201,00:19:00,15901.05,15901.32,15899.13,15900.87,71
20231201,00:20:00,15900.87,15906.2,15900.11,15903.06,117
20231201,00:21:00,15903.06,15906.28,15901.23,15902.75,189
20231201,00:22:00,15902.75,15903.13,15898.85,15899.72,16
20231201,00:23:00,15899.72,15907.67,15899.57,15906.4,89
20231201,00:24:00,15906.4,15915.41,15904.98,15913.94,8
20231201,00:25:00,15913.94,15915.85,15904.51,15906.82,41
20231201,00:26:00,15906.82,15916.53,15905.07,15912.46,27
20231201,00:27:00,15912.46,15912.62,15907.46,15907.98,29
20231201,00:28:00,15907.98,15911.6,15904.85,15909.77,5
20231201,00:29:00,15909.77,15915.99,15908.6,15915.75,78
20231201,00:30:00,15915.75,15922.04,15915.2,15917.25,44
20231201,00:31:00,15917.25,15933.34,15915.4,15930.27,45
20231201,00:32:00,15930.27,15930.55,15925.02,15926.98,79
20231201,00:33:00,15926.98,15928.21,15924.01,15925.77,88
20231201,00:34:00,15925.77,15927.27,15914.23,15917.99,96
20231201,00:35:00,15917.99,15923.74,15914.34,15920.74,17
20231201,00:36:00,15920.74,15926.14,15918.76,15925.47,89
20231201,00:37:00,15925.47,15927.77,15922.44,15926.94,70
20231201,00:38:00,15926.94,15929.05,15921.93,15923.04,41
20231201,00:39:00,15923.04,15925.45,15921.43,15924.32,147
20231201,00:40:00,15924.32,15924.69,15918.58,15922.29,1
20231201,00:41:00,15922.29,15925.48,15920.56,15924.7,34
20231201,00:42:00,15924.7,15926.49,15920.3,15921.92,15
20231201,00:43:00,15921.92,15927.58,15919.99,15924.36,96
20231201,00:44:00,15924.36,15927.23,15924.15,15924.22,77
20231201,00:45:00,15924.22,15932.28,15922.17,15930.77,43
20231201,00:46:00,15930.77,15941.05,15930.2,15938.6,138
20231201,00:47:00,15938.6,15940.75,15937.02,15937.24,14
20231201,00:48:00,15937.24,15948.01,15934.0,15943.58,115
20231201,00:49:00,15943.58,15944.51,15940.16,15941.54,217
20231201,00:50:00,15941.54,15945.49,15936.4,15939.57,11
20231201,00:51:00,15939.57,15955.47,15935.58,15950.67,26
20231201,00:52:00,15950.67,15953.94,15945.79,15952.34,94
20231201,00:53:00,15952.34,15960.32,15950.73,15959.57,15
20231201,00:54:00,15959.57,15965.01,15957.94,15958.92,3
20231201,00:55:00,15958.92,15960.85,15956.34,15958.8,44
20231201,00:56:00,15958.8,15959.35,15953.42,15954.06,176
20231201,00:57:00,15954.06,15954.09,15949.38,15951.3,20
20231201,00:58:00,15951.3,15951.86,15943.38,15945.49,89
20231201,00:59:00,15945.49,15946.93,15942.66,15943.62,36
20231201,01:00:00,15943.62,15950.83,15942.05,15946.24,31
20231201,01:01:00,15946.24,15952.99,15938.39,15940.64,237
20231201,01:02:00,15940.64,15944.06,15937.31,15944.05,4
20231201,01:03:00,15944.05,15944.46,15941.97,15942.8,249
20231201,01:04:00,15942.8,15946.84,15941.7,15944.25,8
20231201,01:05:00,15944.25,15944.49,15943.32,15943.5,104
20231201,01:06:00,15943.5,15945.82,15940.13,15943.28,115
20231201,01:07:00,15943.28,15944.59,15942.5,15943.13,125
20231201,01:08:00,15943.13,15951.49,15939.34,15949.69,1
20231201,01:09:00,15949.69,15957.39,15946.44,15956.55,27
20231201,01:10:00,15956.55,15958.71,15956.18,15957.56,225
20231201,01:11:00,15957.56,15960.29,15952.4,15954.28,98
20231201,01:12:00,15954.28,15969.78,15950.13,15969.06,74
20231201,01:13:00,15969.06,15969.09,15966.81,15968.59,56
20231201,01:14:00,15968.59,15970.07,15963.21,15964.57,21
